,AOD047,AOD055,BLUE,EVI,GREEN,NDVI,NIGHTLIGHTS,NIR,RED,SWIR1,SWIR2,TEMP1,age_struct_child,age_struct_middle,age_struct_old,age_struct_young,aspect,elevation,male,osm,pr,slope,tmmn,tmmx,viirs_v2
AOD047,1.0,0.9694248701636543,-0.1721324859993393,0.1781560954722273,-0.15994117432882454,0.20024275193399865,0.1761978808135742,-0.20664575568031826,-0.22021667085494886,-0.28754449236202073,-0.2507348080654697,-0.3205251186097872,0.21013666656442923,0.25137211125966874,0.2739840135453503,0.23118613374209837,0.09108841207050747,-0.41816179849418955,0.23458473105615207,-0.03149393804331007,0.3449438294962403,0.022009948801262426,0.39636498699882877,-0.23776458780974954,0.17579233988587795
AOD055,0.9694248701636543,1.0,-0.0031433308846163443,0.09942372193918626,0.03091451472769053,0.10925350303129337,0.12044609783021153,-0.04026318266347613,-0.028035947945562793,-0.09618216227504103,-0.061012993087119265,-0.16373964431991397,0.16955147315986221,0.1925145794373386,0.21515846493739388,0.18419958557062024,0.06165847671493042,-0.3093108243369677,0.18419181985470157,-0.04132773646807531,0.21757301019885159,-0.026080853336515848,0.2632631813011843,-0.08681200625549686,0.12023555265599345
BLUE,-0.1721324859993393,-0.0031433308846163443,1.0,-0.6874920872885584,0.9677662724866383,-0.7780063573119644,0.048055242189403304,0.6918564864577712,0.9553371556265273,0.8818067859500345,0.9178923469623003,0.7293364466957999,0.09151291976807278,0.048464102373636325,0.023584736044960964,0.062286138476734684,-0.2193078560010029,0.2909110246053298,0.06620104105290102,-0.020210897750712158,-0.5428669387232756,-0.38415278656060486,-0.35579931519403174,0.7318606801356243,0.048261279157572064
EVI,0.1781560954722273,0.09942372193918626,-0.6874920872885584,1.0,-0.6467605186220051,0.9719653041249396,-0.4838654190660594,-0.1315496789846458,-0.6394735382315011,-0.4632375284058615,-0.5713452801980089,-0.5570151187071535,-0.48815034850494887,-0.4801382577533508,-0.4543155529453802,-0.47320327284136204,0.30072417785365685,-0.04028907389872374,-0.4841753680657041,-0.0006086148847500384,0.2213630407233612,0.3958448465467431,-0.019991699583804978,-0.47210894773478107,-0.4822662994552726
GREEN,-0.15994117432882454,0.03091451472769053,0.9677662724866383,-0.6467605186220051,1.0,-0.7358243284052656,-0.016916547908750575,0.7651234484099355,0.9898373360017639,0.9244906453089508,0.9533753241842753,0.7606704827854068,0.037100242328165944,-0.010520966274237039,-0.03290151311129981,0.006247769961471188,-0.20184833356532977,0.34016911992005555,0.008851249462894631,-0.017556912407610533,-0.581960710237929,-0.3600945041532723,-0.4061222376702179,0.7596732269490108,-0.016542993975191635
NDVI,0.20024275193399865,0.10925350303129337,-0.7780063573119644,0.9719653041249396,-0.7358243284052656,1.0,-0.4299592224931528,-0.29118019272481593,-0.729547650224245,-0.5807637361001573,-0.6737815274863348,-0.6211490646192204,-0.4405531616173647,-0.42770307097554316,-0.39938175848860746,-0.4206851188650286,0.28986949521663025,-0.08877546733562874,-0.4332002148182745,0.00157993440294086,0.35047732832630607,0.4181453023668173,0.05119834053590915,-0.5656271547317641,-0.42917187546245783
NIGHTLIGHTS,0.1761978808135742,0.12044609783021153,0.048055242189403304,-0.4838654190660594,-0.016916547908750575,-0.4299592224931528,1.0,-0.37899106360232776,-0.0482313306137085,-0.19226989250178247,-0.08341641916184193,0.027323204813865284,0.7471309582971597,0.7868811635329218,0.7028744647565598,0.7464569596391434,-0.08401873939007218,-0.160167784947981,0.7791161488325445,0.010077091222475605,0.11506328479460147,-0.0582325024040197,0.3069393464204197,-0.1385193767073971,0.9980068815864658
NIR,-0.20664575568031826,-0.04026318266347613,0.6918564864577712,-0.1315496789846458,0.7651234484099355,-0.29118019272481593,-0.37899106360232776,1.0,0.7737650046253183,0.8591053224666528,0.7991040076827706,0.533400422931166,-0.3331921423024659,-0.3799939016966207,-0.38902852981969094,-0.36177257171932475,-0.03143983552576474,0.3894755398668764,-0.36244604729067414,-0.013388987666902477,-0.6148726330950383,-0.20128181226938172,-0.5190904013003607,0.6679174327085062,-0.378054764519667
RED,-0.22021667085494886,-0.028035947945562793,0.9553371556265273,-0.6394735382315011,0.9898373360017639,-0.729547650224245,-0.0482313306137085,0.7737650046253183,1.0,0.9524598729160385,0.9764303625006473,0.7985478058454037,0.004118731375919398,-0.038813843666147124,-0.05924401221421502,-0.026629409029269774,-0.17716118520594015,0.3839408162898034,-0.022574289452119648,-0.01673034550296181,-0.6330156564477037,-0.3407092752670289,-0.43731799627636037,0.7749825887094187,-0.04793550042105395
SWIR1,-0.28754449236202073,-0.09618216227504103,0.8818067859500345,-0.4632375284058615,0.9244906453089508,-0.5807637361001573,-0.19226989250178247,0.8591053224666528,0.9524598729160385,1.0,0.9861776161181004,0.8182306688062285,-0.1442479046665306,-0.17838541698983373,-0.20059319159159392,-0.17516002659863655,-0.0835121390504153,0.43809892086794716,-0.16765514577069665,-0.017465014809888445,-0.7332988088351649,-0.2855552035587002,-0.5013204365486267,0.7906971567592639,-0.19168796443835218
SWIR2,-0.2507348080654697,-0.061012993087119265,0.9178923469623003,-0.5713452801980089,0.9533753241842753,-0.6737815274863348,-0.08341641916184193,0.7991040076827706,0.9764303625006473,0.9861776161181004,1.0,0.8412022174422243,-0.030714901152883087,-0.0656771382177124,-0.08870465104363127,-0.06178016867368513,-0.10848167917332334,0.41766185143982626,-0.054286063276985104,-0.016780648995310152,-0.7047424338630885,-0.30879763733538124,-0.46528538582800644,0.7810741862188211,-0.08326769395563827
TEMP1,-0.3205251186097872,-0.16373964431991397,0.7293364466957999,-0.5570151187071535,0.7606704827854068,-0.6211490646192204,0.027323204813865284,0.533400422931166,0.7985478058454037,0.8182306688062285,0.8412022174422243,1.0,0.08974586802962364,0.058371047786320414,0.036602886937170676,0.05866643962632127,-0.06390058813045148,0.3765072011775277,0.0686602894339418,-0.011920910921934758,-0.7347058218981044,-0.23587631814207025,-0.364747694666913,0.7392951835160981,0.027513359408746777
age_struct_child,0.21013666656442923,0.16955147315986221,0.09151291976807278,-0.48815034850494887,0.037100242328165944,-0.4405531616173647,0.7471309582971597,-0.3331921423024659,0.004118731375919398,-0.1442479046665306,-0.030714901152883087,0.08974586802962364,1.0,0.9481995581375822,0.9343038936896249,0.9921814344387733,-0.010658899487855998,-0.12253156579204903,0.9849341227125625,0.013278892348797245,0.05124892876597717,-0.04783271585247273,0.2611607921558738,-0.0865006356534186,0.747258809482363
age_struct_middle,0.25137211125966874,0.1925145794373386,0.048464102373636325,-0.4801382577533508,-0.010520966274237039,-0.42770307097554316,0.7868811635329218,-0.3799939016966207,-0.038813843666147124,-0.17838541698983373,-0.0656771382177124,0.058371047786320414,0.9481995581375822,1.0,0.9597644744758466,0.960972877684548,-0.018391350702285474,-0.18794419235119836,0.9859202128076792,0.011461447605788964,0.09419564646512375,-0.0353194163739791,0.34316795821664325,-0.14220669668016894,0.7868372467402784
age_struct_old,0.2739840135453503,0.21515846493739388,0.023584736044960964,-0.4543155529453802,-0.03290151311129981,-0.39938175848860746,0.7028744647565598,-0.38902852981969094,-0.05924401221421502,-0.20059319159159392,-0.08870465104363127,0.036602886937170676,0.9343038936896249,0.9597644744758466,1.0,0.9512397737670899,0.013640893100914766,-0.1847784268460453,0.9562636342948906,0.012907435590744592,0.10909680127375446,-0.01716720820314208,0.32604321459421925,-0.15266350973320753,0.7034142121607732
age_struct_young,0.23118613374209837,0.18419958557062024,0.062286138476734684,-0.47320327284136204,0.006247769961471188,-0.4206851188650286,0.7464569596391434,-0.36177257171932475,-0.026629409029269774,-0.17516002659863655,-0.06178016867368513,0.05866643962632127,0.9921814344387733,0.960972877684548,0.9512397737670899,1.0,-0.004602921193342367,-0.14923859539477077,0.9920218344834298,0.01305666316194682,0.08888349237588762,-0.0404536418187761,0.28741328619120976,-0.11977058604264704,0.7468500135017275
aspect,0.09108841207050747,0.06165847671493042,-0.2193078560010029,0.30072417785365685,-0.20184833356532977,0.28986949521663025,-0.08401873939007218,-0.03143983552576474,-0.17716118520594015,-0.0835121390504153,-0.10848167917332334,-0.06390058813045148,-0.010658899487855998,-0.018391350702285474,0.013640893100914766,-0.004602921193342367,1.0,0.0317932212654284,-0.017670109950313595,0.03338060746479696,-0.02194570082304175,0.29370160305153886,0.019298234785557842,-0.1255855398227827,-0.08829111691685979
elevation,-0.41816179849418955,-0.3093108243369677,0.2909110246053298,-0.04028907389872374,0.34016911992005555,-0.08877546733562874,-0.160167784947981,0.3894755398668764,0.3839408162898034,0.43809892086794716,0.41766185143982626,0.3765072011775277,-0.12253156579204903,-0.18794419235119836,-0.1847784268460453,-0.14923859539477077,0.0317932212654284,1.0,-0.16045599544260555,-0.0010805058530040416,-0.4917739563337182,0.24919147176736314,-0.9320110288232658,-0.011717604982192419,-0.15871204696159127
male,0.23458473105615207,0.18419181985470157,0.06620104105290102,-0.4841753680657041,0.008851249462894631,-0.4332002148182745,0.7791161488325445,-0.36244604729067414,-0.022574289452119648,-0.16765514577069665,-0.054286063276985104,0.0686602894339418,0.9849341227125625,0.9859202128076792,0.9562636342948906,0.9920218344834298,-0.017670109950313595,-0.16045599544260555,1.0,0.01219159426643847,0.07928776978662337,-0.042135045096300325,0.3074724612102299,-0.11903841913707627,0.7793764354864938
osm,-0.03149393804331007,-0.04132773646807531,-0.020210897750712158,-0.0006086148847500384,-0.017556912407610533,0.00157993440294086,0.010077091222475605,-0.013388987666902477,-0.01673034550296181,-0.017465014809888445,-0.016780648995310152,-0.011920910921934758,0.013278892348797245,0.011461447605788964,0.012907435590744592,0.01305666316194682,0.03338060746479696,-0.0010805058530040416,0.01219159426643847,1.0,0.018339707489021865,0.01700819023957405,0.0028005044011049597,-0.019330666199317077,0.009981588004735312
pr,0.3449438294962403,0.21757301019885159,-0.5428669387232756,0.2213630407233612,-0.581960710237929,0.35047732832630607,0.11506328479460147,-0.6148726330950383,-0.6330156564477037,-0.7332988088351649,-0.7047424338630885,-0.7347058218981044,0.05124892876597717,0.09419564646512375,0.10909680127375446,0.08888349237588762,-0.02194570082304175,-0.4917739563337182,0.07928776978662337,0.018339707489021865,1.0,0.05097497284564618,0.48352728504634496,-0.6456946392579702,0.11284784721901502
slope,0.022009948801262426,-0.026080853336515848,-0.38415278656060486,0.3958448465467431,-0.3600945041532723,0.4181453023668173,-0.0582325024040197,-0.20128181226938172,-0.3407092752670289,-0.2855552035587002,-0.30879763733538124,-0.23587631814207025,-0.04783271585247273,-0.0353194163739791,-0.01716720820314208,-0.0404536418187761,0.29370160305153886,0.24919147176736314,-0.042135045096300325,0.01700819023957405,0.05097497284564618,1.0,-0.14826003962966144,-0.39141842627947665,-0.05823870619165237
tmmn,0.39636498699882877,0.2632631813011843,-0.35579931519403174,-0.019991699583804978,-0.4061222376702179,0.05119834053590915,0.3069393464204197,-0.5190904013003607,-0.43731799627636037,-0.5013204365486267,-0.46528538582800644,-0.364747694666913,0.2611607921558738,0.34316795821664325,0.32604321459421925,0.28741328619120976,0.019298234785557842,-0.9320110288232658,0.3074724612102299,0.0028005044011049597,0.48352728504634496,-0.14826003962966144,1.0,-0.09543745202785564,0.30575682421308004
tmmx,-0.23776458780974954,-0.08681200625549686,0.7318606801356243,-0.47210894773478107,0.7596732269490108,-0.5656271547317641,-0.1385193767073971,0.6679174327085062,0.7749825887094187,0.7906971567592639,0.7810741862188211,0.7392951835160981,-0.0865006356534186,-0.14220669668016894,-0.15266350973320753,-0.11977058604264704,-0.1255855398227827,-0.011717604982192419,-0.11903841913707627,-0.019330666199317077,-0.6456946392579702,-0.39141842627947665,-0.09543745202785564,1.0,-0.13886931728894236
viirs_v2,0.17579233988587795,0.12023555265599345,0.048261279157572064,-0.4822662994552726,-0.016542993975191635,-0.42917187546245783,0.9980068815864658,-0.378054764519667,-0.04793550042105395,-0.19168796443835218,-0.08326769395563827,0.027513359408746777,0.747258809482363,0.7868372467402784,0.7034142121607732,0.7468500135017275,-0.08829111691685979,-0.15871204696159127,0.7793764354864938,0.009981588004735312,0.11284784721901502,-0.05823870619165237,0.30575682421308004,-0.13886931728894236,1.0
